   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
AC006946.16	3	3	0	8	2	4	2	1	16	5	1	0	2	1	0	0
AC006960.7	1121	1327	612	715	982	693	1019	885	199	183	2	10	0	0	1	9
AC006994.1	0	0	1	11	0	0	0	0	0	0	0	0	2	0	0	2
AC006994.2	14	13	8	4	15	2	11	11	5	6	1	1	0	0	1	0
AC007038.7	4	2	0	8	2	3	4	7	54	53	25	22	14	26	23	29
AC007091.1	450	418	501	448	363	241	479	394	216	192	7	20	0	4	3	26
AC007099.1	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0
AC007099.2	15	10	2	5	26	10	10	13	7	1	0	0	0	0	0	0
AC007128.1	5	1	3	0	3	1	1	2	5	17	12	8	8	15	12	6
AC007131.1	53	72	57	53	52	26	71	77	26	12	0	3	0	1	2	4
AC007131.2	26	30	9	5	26	9	22	13	3	3	0	0	0	0	0	0
AC007193.6	1	0	0	0	2	0	5	2	17	12	3	2	1	0	0	0
AC007204.2	0	0	0	0	0	0	1	0	25	27	1	0	0	0	2	1
AC007229.3	15	26	12	35	6	9	9	14	1	5	31	56	15	21	42	34
AC007237.2	37	40	32	19	56	31	40	15	12	13	0	0	1	0	0	0
AC007246.3	639	735	766	820	508	347	586	446	121	95	25	25	15	18	18	23
AC007249.3	16	11	21	21	5	5	8	7	55	64	2	2	10	9	2	3
AC007253.1	9	6	0	8	5	5	13	4	0	6	0	0	0	0	0	1
AC007255.8	78	62	41	40	46	31	84	90	22	12	1	0	0	0	0	0
AC007279.2	1	0	0	0	0	0	1	1	2	11	3	7	2	0	2	5
AC007285.6	0	1	2	0	0	1	0	0	10	0	2	11	6	4	4	1
AC007292.6	31	32	27	27	33	19	24	26	50	25	18	25	10	10	17	17
AC007292.7	1	3	0	0	1	2	1	0	10	6	2	2	0	1	0	1
AC007308.6	0	0	0	0	1	0	1	0	8	1	2	3	15	6	3	2
AC007318.5	509	434	263	221	180	109	288	220	1297	1035	2457	2793	1252	1235	2362	2746
AC007362.1	7	7	57	109	6	5	34	26	21	14	16	18	1	5	1	4
AC007365.3	0	0	0	0	0	1	1	2	0	6	12	13	5	14	15	10
AC007383.3	90	75	100	128	54	47	59	56	10	14	6	5	12	16	5	12
AC007391.2	0	0	0	5	0	0	0	0	12	3	0	0	1	0	0	2
AC007392.3	148	164	150	189	209	107	203	160	51	66	2	0	0	0	0	0
AC007403.1	5	11	0	4	3	4	6	8	8	0	0	0	0	0	0	0
AC007403.2	384	453	246	266	215	185	392	323	140	101	1	2	0	0	2	4
AC007421.1	0	0	0	0	2	1	2	2	18	14	6	5	5	5	6	14
AC007422.1	7	24	12	14	5	9	5	10	7	4	0	0	0	0	0	0
AC007461.1	1406	1455	1365	1650	1724	1015	2694	2182	2127	1490	26	23	2	1	9	66
AC007559.1	2	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0
AC007563.3	7	12	4	12	4	4	1	3	1	0	0	0	0	0	0	0
AC007563.5	191	173	171	225	191	139	226	190	85	74	6	3	0	0	2	6
AC007566.10	0	2	0	3	0	1	5	3	3	3	2	2	0	13	7	4
AC007620.3	250	226	288	406	427	257	333	272	202	98	30	36	22	27	50	38
AC007682.1	6	3	0	16	3	5	8	10	1	0	0	0	0	0	0	0
AC007690.1	1	0	0	0	0	0	1	0	25	22	79	69	105	94	66	69
AC007740.1	10	17	7	5	12	1	9	8	3	2	0	1	0	0	0	1
AC007879.1	12	5	2	9	3	1	10	5	0	3	0	0	0	0	0	0
AC007879.3	11	0	0	4	2	4	11	5	1	0	0	0	0	0	0	0
AC007879.4	10	10	14	10	10	11	12	18	9	6	0	0	0	0	0	1
AC007879.5	16	6	6	4	6	3	12	5	3	3	0	2	0	0	1	0
AC007879.7	6	3	2	2	9	7	10	7	16	5	0	0	0	4	1	0
AC007952.5	0	0	1	0	0	1	0	0	4	19	1	0	0	0	0	2
AC007969.5	15	6	34	30	27	7	19	19	66	35	78	67	66	55	81	89
AC008132.12	4	4	1	1	2	0	12	6	238	156	56	52	53	28	56	56
AC008268.2	11	13	6	19	4	6	5	3	11	2	3	1	1	0	0	2
AC008269.2	3	2	2	0	0	2	15	6	21	12	2	4	0	2	0	3
AC008271.1	8	7	0	2	3	6	10	4	19	7	5	4	30	6	13	10
AC008440.10	0	0	0	0	0	0	0	0	11	8	24	39	29	26	17	14
