   GV.0	GV.1	MI.0	MI.1	MII.0	MII.1	PN.0	PN.1	CL.0	CL.1	MOR.0	MOR.1	ICM.0	ICM.1	TROPH.0	TROPH.1
GPR45	0	0	0	0	0	0	2	0	18	16	2	6	0	1	6	19
GPR50	0	0	0	0	0	0	21	0	483	558	7	3	5	0	6	22
GPR52	4	3	24	9	7	6	7	8	5	8	3	0	1	9	4	2
GPR56	2653	3495	3467	4028	2217	1530	2491	2023	1046	1116	219	222	218	267	95	121
GPR61	19	34	24	51	24	20	40	32	13	31	4	8	4	5	0	1
GPR62	0	0	0	0	1	0	1	0	12	20	0	0	1	1	0	2
GPR63	2	4	10	3	3	2	5	2	3	12	0	0	0	2	1	0
GPR64	17	20	12	22	13	12	13	8	16	19	2	0	1	0	0	2
GPR78	741	948	595	626	682	532	851	689	340	282	17	24	44	59	13	19
GPR82	0	1	4	0	0	0	0	0	3	3	12	7	0	11	3	2
GPR89B	26	20	21	19	14	2	18	11	28	18	12	12	14	17	9	24
GPR97	14	9	58	6	3	3	13	5	20	7	4	7	1	3	0	6
GPR98	1609	1690	1673	1371	1617	1004	1601	1437	1409	1037	98	89	86	56	68	112
GPRASP1	8	14	44	32	11	2	21	27	38	33	4	1	1	0	9	1
GPRASP2	21	10	23	57	14	5	25	25	11	18	7	15	8	5	5	1
GPRC5A	292	370	158	298	479	292	289	216	251	189	8984	9389	2931	2726	10693	10894
GPRC5B	0	1	2	1	1	1	6	2	5	8	2	3	7	10	4	3
GPRC5C	15	21	6	23	12	10	15	12	30	68	595	646	1182	1060	399	384
GPRIN2	0	3	10	0	0	0	9	10	64	2	8	13	1	2	1	10
GPS1	2534	3653	2111	2193	1553	1180	1637	1421	1829	1833	1565	1661	1237	1169	2034	1975
GPS2P2	2	1	3	2	7	2	2	0	3	7	26	35	23	9	33	17
GPSM1	9	13	69	124	5	3	27	25	35	28	30	19	19	18	19	12
GPSM2	4163	4439	4113	4373	3852	2561	4041	3505	1332	935	143	187	169	153	190	208
GPT2	7015	8300	5334	6572	6028	4395	6210	5188	1572	1329	362	353	329	277	427	514
GPX1	89	98	85	86	30	12	27	22	58	55	42	57	46	25	54	52
GPX2	0	0	0	0	0	0	0	0	0	1	4	3	20	13	3	3
GPX3	49	59	97	186	27	16	126	89	175	104	58	72	42	58	53	63
GPX4	268	418	266	311	133	92	181	96	1425	1422	1830	1856	1464	1289	2181	2045
GPX7	5	3	32	38	1	1	16	8	13	17	4	4	1	0	0	1
GPX8	21	16	88	76	11	15	78	46	37	15	60	48	11	0	61	63
GRAMD1A	3205	4148	2866	3608	2432	1924	2478	1979	1427	1200	190	173	280	246	113	147
GRAMD1B	57	53	576	555	68	49	709	580	988	885	107	144	31	41	34	44
GRAMD1C	206	177	289	180	243	173	361	276	354	201	34	20	27	40	8	41
GRAMD2	5	7	6	15	7	4	15	5	0	1	0	4	11	3	1	3
GRAMD3	122	122	70	150	158	78	186	160	102	63	242	229	506	430	276	314
GRAMD4	1202	1436	1353	1571	1217	923	1201	968	429	399	130	113	135	113	145	144
GRAMD4P2	0	0	0	0	0	0	0	0	21	3	1	0	0	0	0	2
GRAMD4P7	0	0	0	0	0	0	3	1	11	0	0	1	0	0	0	0
GRAP2	298	399	264	237	315	243	447	360	304	171	6	7	1	0	3	7
GRASP	350	438	233	160	84	66	132	85	137	86	23	23	24	38	19	26
GRB10	61	57	51	40	57	50	138	116	175	162	43	45	18	26	46	36
GRB2	7	4	0	3	2	1	3	2	76	70	11	25	14	15	9	28
GRB7	22024	27141	29206	33553	41803	28318	42289	35229	10165	9195	727	697	643	658	613	959
GREB1	3718	4267	5758	6090	3265	2218	3392	2740	1531	1397	115	96	29	19	71	87
GREB1L	2737	3072	2978	3136	3655	2487	4111	3731	1605	1150	3302	3551	2703	2477	5849	5965
GREM1	129	139	994	1030	30	16	223	154	86	60	386	423	3	0	5	6
GREM2	0	0	0	0	0	0	0	0	0	0	4	2	11	10	2	8
GRHL1	4329	5232	5110	5651	6229	4193	6183	5282	1641	1324	907	989	1280	1210	1174	1311
GRHL2	6051	7192	5811	6492	7340	5113	9491	8029	5104	4329	2418	2479	790	888	3149	3323
GRHL3	2606	3151	2027	2338	3416	2299	3972	3383	1168	1039	758	754	813	833	666	748
GRHPR	3682	4986	2236	2625	1366	1061	1575	1265	584	580	308	323	260	265	504	559
GRIA1	964	1179	1019	971	714	501	903	813	412	369	2	9	0	0	2	6
GRIA2	2	2	11	4	5	3	5	11	14	27	1	2	0	0	0	0
GRIA4	8	9	1	2	2	5	6	7	3	16	5	0	1	0	1	0
GRID2	306	381	378	411	420	226	500	425	446	412	18	42	19	9	15	30
GRIK2	1019	1085	909	1097	1300	793	1363	1151	551	487	27	20	9	8	6	22
GRIK4	3457	4310	2700	3107	2684	1909	3096	2645	1156	1042	47	29	3	8	15	51
GRIN1	1	6	1	6	0	0	7	3	46	36	3	1	1	1	8	9
GRIN2A	22	26	20	28	14	12	25	16	24	20	0	2	0	0	2	0
GRIN2B	73	96	115	115	87	77	121	94	70	68	5	6	2	0	3	2
GRIN2D	190	198	220	256	265	219	398	331	487	381	332	408	324	337	434	460
GRIN3B	43	61	12	25	13	17	18	14	10	30	6	7	2	12	4	5
GRINA	1074	1572	1017	1292	831	646	1119	995	882	823	584	595	596	536	586	642
GRIP1	17	24	29	24	9	14	21	25	13	10	0	3	0	5	0	2
GRIPAP1	20	11	15	33	26	15	15	18	11	10	2	2	1	4	4	6
GRK1	18	25	12	8	16	6	15	13	37	30	16	18	6	5	6	20
GRK4	55	65	20	38	37	32	62	40	399	413	71	46	29	24	57	36
GRK5	1135	1330	983	1080	1200	858	1689	1394	1111	969	147	174	82	118	59	87
GRK5-IT1	0	0	0	0	0	0	1	1	38	45	4	5	3	0	2	8
GRK6	292	428	308	281	202	187	239	196	114	128	631	658	529	570	856	805
GRK7	59	44	30	91	44	25	47	63	39	66	4	1	0	2	0	9
GRM1	1	2	22	0	6	1	1	4	1	5	3	5	6	0	0	4
GRM2	40	62	78	43	67	56	70	55	57	91	43	61	31	24	32	32
GRM3	10	16	17	18	9	13	14	7	6	3	0	5	0	0	1	4
GRM4	25	35	41	42	29	31	39	44	35	27	2	1	0	1	2	5
GRM5	7	8	1	7	5	2	10	11	7	8	0	1	0	0	0	0
GRM5-AS1	4	10	9	3	5	5	13	14	11	7	1	0	0	0	0	0
GRM7	1584	1718	1559	1647	1986	1264	1589	1249	675	539	17	15	3	7	6	24
GRM8	47	35	24	49	44	21	41	50	18	23	1	2	0	0	1	0
GRN	6254	9391	5706	6313	4837	3401	5842	4684	4326	4235	1430	1621	1380	1200	1249	1468
GRP	10	8	0	2	11	3	4	7	6	2	3	1	0	0	0	0
GRPEL1	46	43	48	62	37	28	54	28	32	38	15	15	22	8	15	23
GRPEL2	3791	3797	3324	3426	3965	2412	4094	3322	2897	2098	1005	1038	739	706	1212	1395
GRPR	150	194	116	116	169	102	182	167	73	73	2	6	2	3	3	2
GRSF1	32	49	37	37	22	12	36	27	56	38	27	34	26	16	24	47
GRTP1	80	46	105	83	99	76	117	106	45	22	12	4	6	6	5	13
GRTP1-AS1	506	528	562	662	826	616	1000	771	228	166	14	9	3	15	7	29
GRWD1	1118	1402	711	1060	851	639	846	569	5766	4751	2014	2033	1267	1115	2131	2294
GS1-115G20.2	0	0	0	0	0	0	0	0	8	0	1	2	10	7	6	3
GS1-124K5.10	1	1	1	1	2	0	0	0	9	10	6	6	12	6	2	7
GS1-124K5.12	1	2	0	1	4	3	10	2	47	38	8	6	1	6	3	5
GS1-124K5.2	5	6	0	4	19	4	28	25	23	19	11	1	0	0	4	7
GS1-124K5.4	32	49	36	19	4	6	8	5	19	4	12	8	6	1	1	6
GS1-124K5.6	3	0	1	0	2	1	12	6	7	2	1	0	0	1	1	3
GS1-24F4.2	10	12	2	3	14	8	16	8	1	3	0	1	0	0	0	0
GS1-256O22.5	69	72	71	51	65	37	63	45	28	22	1	1	0	0	0	1
GS1-257G1.1	310	323	255	194	211	130	280	240	76	28	65	83	51	39	73	89
GS1-279B7.2	6	8	9	4	13	3	7	7	8	3	3	1	0	3	2	1
GS1-293C5.1	2	1	0	12	4	1	2	0	0	0	0	0	0	0	0	0
GS1-309P15.4	2	1	10	2	3	3	2	0	9	3	0	3	2	0	2	3
GS1-358P8.4	55	52	73	131	62	36	83	83	102	71	34	18	12	9	10	16
GS1-393G12.14	2	1	10	5	2	1	1	1	8	0	0	2	1	0	2	2
GS1-421I3.2	0	0	0	10	0	0	0	0	1	0	1	0	0	0	1	0
GS1-44D20.1	7	9	31	21	10	5	21	23	11	7	177	194	131	137	222	288
GS1-466O4.5	16	22	4	19	6	5	12	6	0	3	0	0	0	0	0	0
GS1-531I17.2	0	0	11	0	0	0	0	0	0	1	0	0	0	0	1	3
GS1-600G8.3	0	0	0	0	0	0	0	0	3	4	12	16	19	26	30	19
GS1-69O6.1	11	13	5	9	5	11	5	10	0	0	0	0	0	0	0	0
GSAP	81	59	58	58	60	27	173	158	112	89	16	3	2	2	7	6
GSC	5	6	9	15	4	1	4	2	7	7	0	4	2	1	3	0
GSDMD	47	70	110	155	16	11	44	29	22	26	27	35	48	33	27	24
GSE1	21147	28498	20723	26923	29006	22104	32133	25525	14423	13958	3619	3699	3548	3520	3786	3862
GSG2	843	878	804	805	970	653	1174	1016	1115	975	588	577	347	358	556	590
GSK3A	77	105	112	101	92	55	115	74	49	62	29	27	33	14	25	36
GSK3B	37	44	24	32	33	24	88	94	88	106	31	26	19	15	21	39
GSKIP	7295	7446	5665	5668	4229	2705	5367	4548	3070	2669	943	1002	735	685	827	980
GSN	1845	2644	1356	1514	1126	815	1249	1021	675	581	218	270	271	258	192	225
GSPT1	61	81	87	130	78	60	126	96	118	117	60	58	25	29	58	62
GSPT2	1	2	2	4	0	0	17	3	97	62	16	22	16	2	12	15
GSR	15	11	20	16	12	7	15	12	18	6	32	22	29	21	15	32
GSTCD	1911	1960	2763	3056	2917	1903	3398	2643	1321	1113	420	414	353	236	461	470
GSTK1	849	1086	612	847	443	305	722	611	257	281	298	354	386	281	437	422
GSTM1	0	1	3	5	0	0	5	1	10	6	2	0	0	1	1	1
GSTM2	6	10	25	9	8	11	14	14	31	26	1	3	8	1	4	1
GSTM3	15	19	36	14	2	5	6	4	6	3	0	0	0	0	0	0
GSTM4	40	63	45	73	45	25	101	62	67	60	47	62	43	51	50	66
GSTM5	0	2	0	0	0	0	5	2	5	10	0	0	1	3	0	2
GSTO1	34	50	72	28	14	2	33	30	35	32	540	460	513	401	453	497
GSTO2	14	20	5	7	5	0	12	9	33	14	47	64	17	15	30	55
GSTP1	125	231	193	207	54	39	161	149	160	162	6696	6685	6439	5393	7429	7549
GSTZ1	112	161	67	55	57	45	65	50	61	65	291	292	247	217	344	325
GSX2	2	10	0	8	4	4	8	12	2	6	0	0	0	0	0	0
GTDC1	36	26	49	17	34	14	67	48	87	53	11	9	4	8	13	18
GTF2A1	6	4	3	6	9	2	10	7	54	65	10	9	14	10	6	18
GTF2A1L	129	125	108	95	118	74	145	107	55	41	0	0	0	1	0	0
GTF2A2	34	25	21	36	17	12	35	18	132	104	40	30	29	27	39	49
GTF2B	73	64	103	73	65	51	39	33	60	61	9	20	11	7	8	8
GTF2E1	2963	3362	3065	3251	3956	2582	3021	2554	1525	1188	633	477	458	388	506	699
GTF2E2	10	11	13	13	2	2	5	6	34	32	12	13	2	4	8	6
GTF2F1	20	23	34	51	35	27	23	22	93	98	25	29	23	20	15	30
GTF2F2	1166	1255	1186	1427	1183	750	1364	958	2784	2217	719	670	464	448	707	791
GTF2H1	3049	3269	3487	3759	3044	2008	2453	1952	2864	2237	1215	1202	704	668	1215	1118
GTF2H2B	3	4	3	0	8	5	3	2	3	7	4	12	2	11	14	22
GTF2H2C	157	205	158	179	191	156	203	146	30	24	39	82	53	27	83	85
GTF2H3	78	83	171	157	114	85	148	111	181	136	431	403	262	297	522	662
GTF2H4	5	7	3	25	8	14	16	18	12	12	13	17	14	7	20	13
GTF2H5	408	501	401	416	88	52	150	129	128	147	364	370	241	200	351	355
GTF2I	1926	1949	2862	2914	2281	1505	2523	2092	1056	865	550	639	678	688	657	594
GTF2IRD1	472	499	357	444	366	283	479	386	382	306	154	153	119	135	79	119
GTF2IRD2B	5	3	13	40	3	2	11	2	16	18	7	12	5	12	3	7
GTF3A	1325	1640	1009	1019	387	280	527	429	436	310	1528	1497	1034	904	2043	2036
GTF3C1	94	171	128	183	119	93	112	108	108	97	23	28	36	42	32	19
GTF3C2	180	224	182	198	158	118	190	144	119	124	38	30	18	14	27	39
GTF3C2-AS1	36	29	23	28	22	17	34	30	33	28	10	29	23	24	12	18
GTF3C3	25	33	18	31	19	20	20	13	22	10	13	5	10	4	10	15
GTF3C4	3417	3655	2805	3186	2702	1738	2573	2094	4086	3079	3240	3207	2413	2195	3166	3371
GTF3C5	4810	6243	3770	4114	4056	2994	4614	3749	2850	2768	1970	1985	1188	1205	1908	1977
GTF3C6	934	1104	726	747	381	247	409	321	1243	1022	593	626	665	551	720	736
GTPBP1	1900	2338	1465	2001	2071	1385	2205	1887	2236	2302	621	796	621	667	834	895
GTPBP10	8111	7791	7520	7781	7894	4855	6974	5928	1494	1075	402	399	288	259	518	596
GTPBP2	5	20	4	13	9	7	9	11	3	5	8	4	6	9	1	7
GTPBP3	165	252	133	119	146	85	141	96	698	821	314	312	246	230	385	398
GTPBP4	507	624	568	553	378	246	578	395	5511	4785	2293	2260	1758	1492	2438	2777
GTPBP8	494	475	391	542	352	232	404	309	341	222	244	269	218	199	316	306
GTSE1	3880	4381	4206	5158	4363	3215	3985	3285	1734	1335	1264	1264	751	740	1374	1370
GTSF1	50	60	43	60	14	14	36	21	19	16	8	13	17	8	12	26
GUCA1A	17	27	6	11	18	9	16	15	10	20	17	15	44	11	10	15
GUCD1	142	208	178	179	193	125	192	170	140	142	20	15	23	15	31	21
GUCY1A2	67	69	78	68	66	45	89	87	56	27	1	3	0	1	0	0
GUCY1A3	337	368	343	313	563	304	367	286	148	85	4	5	1	0	0	6
GUCY1B3	0	0	11	5	0	1	4	2	23	38	8	6	0	0	2	0
GUCY2D	129	168	113	202	92	82	136	93	63	59	3	1	1	0	3	1
GUCY2GP	3	3	13	2	2	1	12	11	13	3	2	0	0	0	0	1
GUF1	1018	952	1068	1241	1136	683	955	869	1713	1286	1592	1692	1116	1128	2017	2011
GUK1	306	478	139	202	101	79	187	126	422	358	821	820	788	705	1209	1136
GULP1	0	2	10	0	0	0	5	1	25	14	496	464	401	352	546	446
GUSB	3	8	0	6	6	1	1	6	17	20	10	10	6	4	7	12
GUSBP1	142	125	147	143	109	89	198	121	2009	1525	115	157	78	62	136	188
GUSBP2	2	2	9	0	17	2	8	8	6	10	2	2	2	0	5	2
GUSBP5	50	80	39	28	31	28	38	41	99	36	22	10	1	0	9	12
GUSBP6	0	0	0	0	1	0	2	1	79	74	2	2	2	1	0	7
GUSBP8	30	18	22	13	19	20	61	44	118	92	16	11	3	3	7	8
GVINP2	0	0	0	0	0	0	0	0	3	1	46	43	32	22	36	46
GVQW1	1	1	1	6	3	0	7	1	67	76	19	10	11	21	16	23
GXYLT1	2	1	3	5	2	1	5	3	2	2	6	10	17	5	10	9
GXYLT2	53	43	145	137	20	24	83	78	37	36	16	7	15	11	15	29
GYG1	36356	43512	26001	29115	19925	14120	26015	21567	13688	12006	677	742	481	379	656	1102
GYG2	93	122	89	163	94	76	107	91	134	125	87	96	150	113	68	87
GYLTL1B	2	4	31	0	0	0	8	11	29	26	3450	3628	1690	2075	5602	5695
GYPC	1	5	14	25	0	2	20	16	11	4	26	29	52	56	9	4
GYS1	26	56	42	40	34	29	43	37	43	21	30	18	9	19	30	43
GZF1	604	817	687	713	703	511	730	615	363	436	245	240	160	193	280	249
GZMM	4	11	0	5	3	1	5	3	15	18	9	8	10	2	7	1
H19	3	2	8	7	2	6	11	9	14	9	20	20	63	59	16	23
H1F0	6200	7424	7687	8860	9323	6828	10542	8460	4538	4028	2422	2234	2994	2827	3308	3709
H1FNT	0	0	0	0	2	1	1	1	120	129	2	0	0	0	0	4
H1FOO	39580	51602	56022	72505	83575	59354	87796	69063	16778	15910	126	122	36	31	61	578
H1FX	1	1	2	2	0	0	1	0	3	4	24	32	27	14	47	35
H1FX-AS1	0	0	10	13	0	0	3	0	5	19	14	14	34	23	19	16
H2AFB1	0	0	0	0	0	0	1	1	15	23	0	0	0	0	0	2
H2AFJ	19	23	31	54	11	7	28	35	102	112	179	165	201	205	218	196
H2AFV	8	9	10	4	5	1	8	3	31	44	47	42	27	22	34	50
H2AFX	12	24	29	31	49	32	35	33	101	128	41	56	44	45	69	51
H2AFY	9	12	12	10	7	3	9	8	10	13	24	29	36	16	36	40
H2AFY2	780	952	767	950	665	531	959	802	333	299	108	128	206	207	101	116
H2AFZ	0	1	2	0	1	0	8	0	296	248	73	88	78	64	89	110
H2BFS	9	17	12	11	19	14	19	10	31	53	4	5	0	6	4	6
H3F3A	230	192	540	614	264	124	170	106	1243	804	538	504	487	396	557	645
H3F3AP4	1191	1090	1371	1222	1038	602	1060	886	3978	2955	1812	1853	1328	1317	1789	2041
H3F3B	378	365	724	670	532	310	453	397	397	359	78	82	94	69	79	135
H3F3BP1	0	1	5	0	1	2	0	0	3	15	1	1	0	0	0	1
H3F3C	10	14	7	9	3	8	9	9	3	16	0	1	3	2	4	3
H6PD	631	867	703	1060	660	492	888	742	344	343	67	96	34	30	48	81
HABP2	22162	26900	23710	26662	23193	16259	34971	29652	19527	18179	207	172	43	38	47	678
HABP4	1898	2216	1842	2330	1442	1045	1028	907	465	434	57	64	39	17	62	73
HACE1	36	28	20	46	35	18	21	23	18	6	2	2	0	0	2	6
HACL1	8	13	14	15	11	11	17	16	18	7	8	4	6	7	5	10
HADH	1158	1365	931	821	545	409	920	678	481	365	285	290	280	220	404	506
HADHA	13	17	32	29	6	5	20	8	8	14	12	18	13	5	16	21
HADHB	1543	1826	1383	1288	857	536	708	610	360	227	733	756	469	491	808	726
HAGH	73	76	74	71	31	23	37	23	16	20	1	1	4	5	1	4
HAGHL	3	11	0	16	3	2	4	7	3	3	13	22	23	20	33	17
HAGLR	5	12	14	17	11	5	13	2	7	7	0	1	1	0	0	0
HAL	13	13	3	10	5	5	8	5	0	1	0	0	0	0	0	0
HAND1	0	0	0	0	0	0	1	0	8	8	15	8	21	7	12	19
HAND2-AS1	3	2	1	3	1	2	4	4	68	7	0	1	0	0	0	2
HAP1	322	477	313	342	374	309	373	331	125	140	4	13	0	2	1	13
HAPLN1	1	1	0	6	2	0	0	2	0	0	7	4	7	1	4	13
HAPLN3	8	21	18	9	12	15	14	13	3	2	0	0	0	1	0	0
HARS	7	18	24	25	8	14	14	15	18	19	13	7	4	3	21	15
HARS2	204	252	208	278	159	85	155	131	313	279	417	457	337	305	503	475
HAS2-AS1	39	25	23	21	31	28	33	33	22	22	2	2	7	8	0	0
HAS3	13030	16441	12020	13963	16383	11266	17267	14555	3344	2895	135	125	53	40	76	167
HAT1	1799	2030	1768	2087	1268	812	1850	1289	4775	3628	1415	1415	1213	962	1049	1290
HAUS1	520	550	393	424	229	144	287	216	89	83	398	450	419	283	439	510
HAUS2	163	175	118	96	52	39	99	59	1063	750	947	835	521	470	900	1020
HAUS3	11	12	12	11	10	7	8	6	21	14	5	0	1	2	4	6
HAUS4	20	23	36	72	40	22	69	69	26	18	2	7	3	2	2	5
HAUS4P1	7	6	6	3	10	7	4	6	0	2	0	0	0	0	0	0
HAUS5	2374	2821	1722	2234	1715	1256	1541	1258	654	584	358	403	308	360	397	448
HAUS6	5	6	9	3	4	3	7	2	14	9	9	10	9	14	10	9
HAUS6P1	146	137	110	139	132	68	111	88	208	177	214	210	111	95	155	182
HAUS6P3	6	4	27	25	10	2	2	8	18	20	23	25	13	18	20	30
HAUS8	45	78	81	57	24	20	23	34	19	14	7	3	8	4	2	8
HAUS8P1	3	8	12	12	7	3	18	18	9	10	3	0	1	0	1	1
HAVCR1	0	3	0	0	1	0	2	3	8	6	90	100	51	64	141	116
HAVCR1P1	0	0	0	0	0	0	0	0	0	1	13	17	3	7	9	9
HAX1	929	1044	527	669	377	258	577	528	572	427	993	1045	860	709	991	1075
HBA1	0	0	0	0	0	0	1	0	29	20	42	45	17	7	17	12
HBA2	0	0	0	0	0	0	0	1	30	13	43	43	19	9	17	16
HBCBP	18	13	10	12	11	15	13	14	4	3	0	0	0	0	1	0
HBEGF	0	0	0	0	0	0	0	0	20	10	0	0	0	1	0	0
HBM	0	0	0	0	0	0	1	0	49	39	6	2	3	0	3	3
HBP1	3477	3972	3136	3035	3115	1985	4114	3541	2191	1896	671	635	556	549	579	591
HBQ1	34	42	21	81	11	12	8	4	9	9	3	0	4	2	3	5
HBS1L	12	9	25	16	9	9	11	7	30	15	15	7	8	7	6	14
HBZ	0	0	0	0	0	0	0	0	4	11	4	0	0	2	0	3
HCCS	1262	1545	624	688	414	324	544	379	1349	947	1119	1166	622	600	1168	1056
HCFC1	331	596	594	788	650	472	539	405	394	465	99	106	102	94	117	142
HCFC1-AS1	2	1	3	11	2	4	8	6	4	2	4	6	1	4	11	8
HCFC1R1	12	9	6	12	5	6	10	6	10	8	4	2	4	2	7	4
HCFC2	1949	2023	2161	2374	2646	1723	2644	2074	1316	1126	118	126	86	69	94	156
HCG11	1	0	4	27	1	0	14	1	201	130	67	58	44	35	66	73
HCG15	0	0	5	0	1	1	2	0	91	95	23	17	5	17	31	35
HCG16	0	0	0	0	0	0	1	0	40	38	14	9	8	2	14	22
HCG18	26	18	40	26	19	14	21	13	15	28	4	7	4	1	2	1
HCG20	1	0	0	0	0	0	0	1	5	11	2	2	0	0	0	2
HCG2040054	0	0	0	0	0	0	1	0	0	17	2	6	2	12	1	10
HCG22	0	1	0	0	0	0	0	2	25	46	2	2	0	0	6	1
HCG23	9	7	39	36	21	10	34	15	9	7	1	3	1	0	0	0
HCG25	15	26	19	6	19	11	19	22	20	15	12	10	13	21	12	10
HCG27	1	0	7	0	2	0	3	2	10	11	4	1	2	4	0	0
HCK	0	2	4	0	0	3	2	0	2	15	1	3	0	0	1	2
HCN2	3471	5288	3621	4106	3413	2570	4711	3765	3410	3846	548	681	264	322	464	536
HCN3	5	17	4	36	12	7	29	19	216	136	32	16	14	21	13	34
HCN4	39	36	35	46	38	39	34	37	16	30	0	2	1	0	0	1
HCP5	1	2	0	0	0	2	14	3	35	6	16	13	0	1	0	0
HCRTR1	0	3	4	1	1	0	3	2	11	5	1	3	6	0	0	1
HCST	4	3	14	0	2	1	1	2	0	7	0	0	0	0	0	0
HDAC1	619	661	710	774	626	435	1439	1074	3019	2350	1717	1744	1307	1210	1961	2094
HDAC11	2253	2834	954	870	673	436	516	438	249	251	24	33	5	3	7	27
HDAC1P2	1	2	0	5	0	0	1	0	14	0	8	4	6	15	7	0
HDAC2	12	11	6	6	10	7	12	7	91	74	29	30	30	30	36	32
HDAC3	7	18	18	17	21	19	36	21	11	12	5	4	6	2	6	11
HDAC4	31	23	36	35	34	14	51	44	41	85	6	4	2	3	2	5
HDAC5	5	9	8	17	9	3	14	4	8	22	11	9	21	15	8	10
HDAC6	354	388	228	366	278	154	329	337	316	291	265	318	280	284	395	376
HDAC8	0	1	13	7	3	1	4	4	3	5	4	1	6	2	5	4
HDAC9	8211	8874	9572	10261	10360	6163	11059	8946	7204	5143	101	121	38	34	82	239
HDC	136	190	154	163	132	100	93	84	64	44	0	3	0	0	1	3
HDDC2	3	3	3	9	1	0	5	1	7	10	11	13	17	10	15	20
HDGF	27	42	35	30	44	31	51	39	35	25	41	59	32	33	50	84
HDGFL1	1970	2526	1919	2435	2022	1409	2234	1793	2373	1888	338	356	188	176	236	361
"HDGFRP2;"	2796	3884	2922	3719	2731	2396	2812	2163	4782	5275	703	790	501	577	789	910
HDGFRP3	2	8	16	15	6	7	16	7	9	6	4	1	4	5	1	0
HDHD1	5	7	3	0	3	0	12	3	3	7	6	7	4	7	10	2
HDHD3	11	21	11	17	9	9	16	10	23	17	12	19	7	8	4	11
HDLBP	137	241	188	280	175	123	182	144	269	220	89	66	85	69	108	76
HEATR1	124	195	247	301	233	159	204	173	182	145	25	17	16	15	21	37
HEATR2	2812	4141	3465	4143	4467	3520	4281	3309	1705	1543	930	1004	725	616	1304	1330
HEATR3	69	91	115	108	36	32	92	37	695	682	586	602	463	458	694	622
HEATR5A	12	14	17	8	8	4	17	16	6	4	4	5	7	5	7	6
HEATR5B	28	33	42	61	22	17	30	23	34	34	5	7	4	8	5	10
HEBP2	90	94	52	77	65	49	111	99	261	266	561	614	471	386	741	751
HECA	351	366	412	304	292	193	319	250	2035	1882	831	849	504	570	824	902
HECTD1	35	36	46	39	25	23	34	37	42	27	27	24	28	23	26	32
HECTD2	1282	1189	2047	2098	2261	1265	2436	2141	1064	699	76	78	28	35	75	94
HECTD3	46	98	48	74	36	33	36	33	62	34	20	22	23	12	15	20
HECTD4	29	38	51	34	37	25	43	39	34	42	9	14	10	9	13	10
HECW1	214	250	214	301	241	137	214	187	122	108	1	4	11	5	1	4
HECW1-IT1	35	32	39	50	28	31	21	24	3	13	0	0	0	0	0	0
HECW2	20	25	12	21	25	16	22	36	20	41	3	6	7	1	4	2
HEG1	6	3	13	7	0	2	0	0	1	4	9	3	3	4	6	8
HELB	512	440	742	607	618	364	671	548	603	423	144	173	115	138	162	190
HELLS	2167	2130	2709	3032	2704	1736	2770	2333	1762	1273	1328	1192	1330	1228	1731	1843
HELQ	8	11	20	22	11	8	19	11	12	11	0	1	2	1	2	1
HELT	0	0	0	2	0	0	0	0	37	25	0	0	0	0	0	1
HELZ	134	211	250	329	242	196	234	182	170	172	16	30	12	15	26	18
HEMK1	34	53	37	27	14	13	32	27	14	28	114	122	133	127	157	140
HENMT1	80	93	169	183	173	79	162	157	59	57	7	2	3	5	6	5
HEPH	1	2	63	8	0	0	1	2	0	5	16	9	1	11	12	7
HEPHL1	376	392	371	349	343	249	547	444	301	221	14	1	2	3	12	14
HERC1	57	59	49	89	52	40	66	54	37	60	17	17	12	9	5	5
HERC2	42	82	115	119	58	38	55	57	44	70	15	12	13	12	10	8
HERC2P10	37	34	23	29	35	13	42	37	50	45	15	19	13	15	4	17
HERC2P2	6	6	11	11	4	5	4	1	6	3	0	4	0	1	3	1
HERC2P4	5	4	2	4	10	3	7	6	1	5	0	1	0	3	5	0
HERC2P5	17	28	14	35	22	18	19	22	23	21	2	7	3	3	3	6
HERC2P8	1	2	0	5	10	1	1	2	0	1	0	0	2	0	0	2
HERC2P9	37	59	228	248	40	21	62	56	107	103	75	82	43	46	44	88
HERC3	2416	2378	2884	2967	3162	2040	3406	2821	1276	1151	329	329	204	242	468	445
HERC4	10	14	13	17	13	9	20	13	23	15	14	16	10	1	21	14
HERC5	1168	1232	1147	964	1391	801	1255	1066	1607	1198	658	566	219	189	551	533
HERC6	12085	12263	11164	11364	11881	7154	16752	13646	9349	6910	156	164	26	25	47	387
HERPUD1	1529	1736	1927	1977	1336	910	1780	1487	653	466	1262	1272	1522	1357	1794	1778
HERPUD2	30	40	44	63	37	35	43	41	31	29	11	8	2	1	0	7
HES1	64	71	71	123	99	45	86	63	195	176	158	188	112	117	243	253
HES3	1	0	0	0	0	0	1	0	21	16	2	2	0	0	2	1
HES6	50	61	83	92	99	62	100	95	42	24	4	6	9	4	3	7
HEXA	11	16	17	21	10	7	8	12	7	9	3	3	4	2	3	10
HEXA-AS1	4	9	6	10	4	1	3	0	1	0	7	8	2	6	4	5
HEXB	5158	5486	5774	6083	5254	3152	5554	4556	1595	1113	1146	1269	818	598	1298	1352
HEXDC	285	341	189	295	181	139	196	150	111	106	81	82	115	86	69	111
